final_pct_blocked_calls,final_pct_dropped_calls
2.3323707676197127E+00,8.250563259607147E-02
2.01046362409924E+00,1.3161791319798624E-01
2.0849630964933166E+00,1.0203734566851468E-01
2.2312501983686164E+00,1.4599930174246992E-01
2.2326015880429706E+00,1.1832477035653123E-01
2.1734623358673115E+00,1.5203870076019352E-01
2.2049004689295364E+00,1.708021490015838E-01
2.3704222215151614E+00,1.3045276655318336E-01
2.2498205760289576E+00,1.2793709239554404E-01
2.2867757742689685E+00,1.7615219549690933E-01
2.2103126783788927E+00,1.5538783535231812E-01
1.9358800336112727E+00,1.260422726391313E-01
2.1666563639735426E+00,1.1126908573901217E-01
2.0084795593104943E+00,9.284189026088571E-02
2.4844300027078257E+00,1.455456268616301E-01
2.318903904372523E+00,1.4980805842514278E-01
2.287154295192829E+00,1.0526651567833105E-01
2.2768958320156854E+00,1.3281892353424832E-01
2.2869927288546394E+00,1.1186377478093344E-01
2.231389461841365E+00,1.5625976623538973E-01
2.172096908939014E+00,1.028211554527344E-01
2.3217789404839766E+00,1.199040767386091E-01
2.476911529549979E+00,1.2727213392944556E-01
2.0553507840319862E+00,9.058536890110577E-02
2.1899392888117952E+00,1.2390038409119067E-01
2.1995486475318646E+00,6.992784717586854E-02
2.1938306438829533E+00,1.1095964239292394E-01
2.2899107585523057E+00,1.5803173029251363E-01
2.177259731691225E+00,1.2881334631939428E-01
2.3141357843616572E+00,1.1081776995534695E-01
2.1528662420382165E+00,1.337579617834395E-01
2.142992007048902E+00,1.1328592107747498E-01
2.359798361688721E+00,1.29174543163201E-01
2.2451360640746696E+00,1.8289029735439724E-01
2.012587083094942E+00,1.2115908861441121E-01
2.1570025103046455E+00,1.9214677534322994E-01
2.0215590314429197E+00,7.356939513162525E-02
2.1368187915275914E+00,1.2165829615996507E-01
2.387640449438202E+00,1.5293383270911362E-01
2.332771219786397E+00,1.2803697457997626E-01
2.291336083782926E+00,1.1742304030466519E-01
2.1762921734780027E+00,8.442512741940528E-02
2.170210081382878E+00,9.463125354867201E-02
2.3450420056889594E+00,1.455315208043924E-01
1.8500185620591512E+00,1.0827867838138844E-01
2.3513637255543203E+00,1.6024592844528746E-01
2.262180974477958E+00,1.0150812064965196E-01
2.412047741048553E+00,1.4372305192776355E-01
2.196859744029555E+00,1.253463517614461E-01
2.2459142408341966E+00,9.023762574780254E-02
1.9561037066507525E+00,1.5582521052980572E-01
2.2213145657911273E+00,1.0682417996732435E-01
2.219615055331832E+00,1.300060246694359E-01
2.247120484574585E+00,1.2239902080783352E-01
2.27913835107065E+00,1.0898833183741505E-01
2.4087909142684847E+00,1.5075881939093436E-01
2.252478353620279E+00,1.1921194629188105E-01
2.389160039591795E+00,1.740673743131165E-01
2.1742535793727873E+00,1.1591841849682008E-01
2.0490245756270586E+00,1.2034456549277932E-01
2.3731405090306756E+00,1.720128691109483E-01
2.343921139101862E+00,1.1265842591143796E-01
2.119812712462318E+00,1.507279840933872E-01
2.2066326530612246E+00,8.928571428571429E-02
2.0711812595527E+00,1.0605446208552981E-01
2.244601591109989E+00,1.610051774213916E-01
2.2296140165986036E+00,1.2514820181794228E-01
2.099402836526499E+00,1.0885792485692959E-01
2.3101384212495324E+00,1.371742112482853E-01
2.194631742738589E+00,1.3615145228215766E-01
2.47913292637349E+00,1.1212158963498194E-01
2.236916150815982E+00,1.5475520540236354E-01
2.0805548146172312E+00,8.002133902373967E-02
2.098723456866442E+00,1.359997527277223E-01
2.1963864886095834E+00,1.288295365278869E-01
2.3333017167789056E+00,1.264662177115938E-01
