final_pct_blocked_calls,final_pct_dropped_calls
1.3236694204723443E+00,1.5048677866158902E-01
1.075704664504864E+00,2.2449488650536295E-01
1.2011457082139887E+00,1.601527610951985E-01
1.3073722129060308E+00,2.4843177442394884E-01
1.2328808721265678E+00,2.1560232000242932E-01
1.1180010385801997E+00,1.9855209701560925E-01
1.2424435736200978E+00,2.521340259424648E-01
1.3772916345709443E+00,2.310892004313665E-01
1.3120469767868612E+00,2.4161238034070406E-01
1.2421972534332086E+00,2.808988764044944E-01
1.295240456122955E+00,2.2620228061477443E-01
1.0314497247358096E+00,1.9932924128330062E-01
1.208881329161984E+00,1.7616863590802784E-01
1.1165387299371947E+00,1.7294214023483723E-01
1.3587120982872358E+00,2.0879985474792714E-01
1.2485190923175067E+00,2.582095446398736E-01
1.2062426164272835E+00,2.020767269787975E-01
1.2303632793323516E+00,2.3318605792832597E-01
1.2944690866298543E+00,2.2027096345915934E-01
1.2775210655069311E+00,2.2047053849173992E-01
1.2098379735979663E+00,1.5926980918251707E-01
1.1952824490574434E+00,1.7166290491782435E-01
1.4248828535908962E+00,1.912594434350196E-01
1.142666626254054E+00,1.6973297366107962E-01
1.2975805208814917E+00,1.633533672368624E-01
1.2393613716841647E+00,1.1492824749953408E-01
1.2243506292232347E+00,1.7667844522968199E-01
1.240469563112671E+00,2.4506837710274718E-01
1.1725963314046535E+00,2.2159300750954083E-01
1.3643508330713612E+00,1.8547626532536937E-01
1.1685379546009276E+00,2.1357090554063948E-01
1.160719769084321E+00,2.0266535650678622E-01
1.319643572904141E+00,1.880800419325995E-01
1.2774451097804391E+00,2.732995547366805E-01
1.0767076396452466E+00,2.0227166640734404E-01
1.2222256088268462E+00,2.712670303880033E-01
9.845596049259235E-01,1.3752578608489094E-01
1.122156492041227E+00,2.1040434225773008E-01
1.3395439461746887E+00,2.679087892349377E-01
1.2492780935590748E+00,1.9757439435849114E-01
1.3224474591003632E+00,2.2040790985006056E-01
1.170803097749863E+00,1.3720348801756205E-01
1.2434977992551326E+00,1.9698975037705072E-01
1.2742328925407627E+00,2.696109898574913E-01
9.778396706224266E-01,1.6650520707193026E-01
1.2825267321836948E+00,2.3178193955127016E-01
1.1799855142443263E+00,1.6900048285852245E-01
1.3206050994266194E+00,2.3484201537147734E-01
1.2347669095363982E+00,2.0310787284802376E-01
1.2590565126388664E+00,1.6100466913540493E-01
1.0687116942314208E+00,2.217499769010441E-01
1.217940851638238E+00,1.6566449871149833E-01
1.1874574803636588E+00,2.0409425443750384E-01
1.2808727094441381E+00,2.3595023595023595E-01
1.312482546774644E+00,2.1099010208197586E-01
1.337855662332768E+00,2.2611644997173544E-01
1.2061036152651297E+00,1.8578868821003258E-01
1.3374845125011914E+00,2.541538266035518E-01
1.1875113891757274E+00,1.974123792747373E-01
1.1419705197827774E+00,2.0791311093871218E-01
1.3655592882916512E+00,2.706233669279582E-01
1.266628283991394E+00,1.969637283718675E-01
1.1612257034648972E+00,2.222291777520423E-01
1.258959177313805E+00,1.6827672172016203E-01
1.1424404472532814E+00,1.792659212445309E-01
1.2118615539982251E+00,2.509410288582183E-01
1.2655782050043474E+00,2.222007535503816E-01
1.197586543149683E+00,1.8588493417844953E-01
1.276349457779944E+00,2.4369440721335447E-01
1.2465711673270345E+00,2.529716549832368E-01
1.451784358390281E+00,2.3386484434320423E-01
1.2503499113557899E+00,2.0839165189263162E-01
1.1243548783484885E+00,1.1366429098058492E-01
1.1853643785908679E+00,1.9655276685817963E-01
1.2636363636363637E+00,2.303030303030303E-01
1.2574739567281021E+00,2.0341490476484003E-01
1.1362535911423868E+00,2.1950353465250652E-01
1.2434391402149463E+00,1.6245938515371156E-01
1.1856065448037836E+00,2.1411223315863478E-01
1.3478879924062648E+00,2.1515582977376996E-01
1.1813349084465445E+00,1.430036994435291E-01
1.2421242124212422E+00,2.4002400240024005E-01
1.229586935638809E+00,2.3054755043227668E-01
1.1543264398623336E+00,2.1929156641184175E-01
1.1475054900869135E+00,2.196034765395441E-01
1.368657441126487E+00,2.245690701626608E-01
1.2048960856814994E+00,1.721280122402142E-01
1.230611072476038E+00,1.7839325129259517E-01
1.1534276387377584E+00,1.9897404010570494E-01
1.0904858175580467E+00,1.5315812044354593E-01
1.2711479676765232E+00,2.1185799461275384E-01
1.2730705975513188E+00,1.644636657123713E-01
1.2581207415623514E+00,1.8380605292346697E-01
1.119161399722522E+00,1.7881917681516882E-01
1.3634144640490968E+00,1.7086268219541112E-01
1.2464485381724864E+00,2.1385146488253443E-01
1.2481533962434803E+00,1.7486207000512527E-01
1.1913040849030931E+00,2.1770023886553985E-01
1.2807602744036755E+00,2.2657184215494997E-01
1.0887537045702698E+00,2.2773358290438311E-01
1.3245435489260868E+00,2.4607345748397483E-01
1.3593057831179076E+00,2.730748225013654E-01
1.1505243676742751E+00,2.282541640962369E-01
1.3490571757715393E+00,2.2130600860971322E-01
1.3592233009708738E+00,2.219140083217753E-01
1.2980006347191368E+00,2.2849888924151063E-01
1.351101809676228E+00,1.815831589314293E-01
1.1958100299724994E+00,1.483175230973643E-01
1.1963040019581448E+00,2.3864888018602376E-01
1.1301696794259848E+00,1.6629199642780157E-01
1.2225930199918909E+00,1.4346754826435454E-01
1.1498784414219068E+00,2.2011958735790788E-01
1.3644379814980971E+00,2.2276538473438323E-01
1.2916590507524524E+00,2.132455980015841E-01
1.2549807046716657E+00,1.6314749160731654E-01
1.3607546002783362E+00,2.0102056595020876E-01
1.1498798405986677E+00,2.0077267058071974E-01
1.2591623832841632E+00,2.0986039721402722E-01
1.2175770521818736E+00,1.9835215135794934E-01
1.2462201044625676E+00,2.1075781178411068E-01
1.1391932270916334E+00,1.99203187250996E-01
1.4614111054508405E+00,2.547121752419766E-01
1.2718012038894893E+00,2.0682204043833927E-01
1.1772538813061768E+00,1.4223890082619617E-01
1.2313615252994377E+00,1.5888535810315327E-01
1.2345679012345678E+00,1.6724442011798332E-01
1.2668402945242918E+00,1.8970451110896758E-01
1.3207259417416501E+00,2.2876315388134816E-01
1.4164219285364659E+00,2.3861967694566813E-01
1.213758094432332E+00,1.3016172594448602E-01
1.22765123683566E+00,1.8062698995836396E-01
1.372797195988706E+00,2.304222243858112E-01
1.2559865520631799E+00,2.3470455770877607E-01
1.2307503903499373E+00,1.959403606527263E-01
1.1925511420970554E+00,2.2016328777176405E-01
1.283926539899236E+00,2.6328620185275475E-01
1.1593487913172176E+00,1.85002466699556E-01
1.2714223844583308E+00,1.9488956258120396E-01
1.2238039377318413E+00,1.9656954440252372E-01
1.1635740094310736E+00,2.1740461755159532E-01
1.1785648517586396E+00,1.7494322018292308E-01
1.3165079172480738E+00,2.3357398531820667E-01
1.2949509073775725E+00,1.793476608809314E-01
1.2703731911652705E+00,1.9192688499619193E-01
1.113329702910389E+00,2.0269861438857628E-01
1.3004512409125095E+00,1.8174981198295312E-01
1.3297536323436512E+00,2.1162349968414404E-01
1.241151052679967E+00,1.8080965952621741E-01
1.2480548763060115E+00,1.6196131982597095E-01
1.2102361962245558E+00,2.1864318048840573E-01
1.2558196520460672E+00,3.001715265866209E-01
1.2942531522793403E+00,2.0307953443258975E-01
1.318301663787617E+00,2.1214049762099582E-01
1.2305068226120857E+00,1.766569200779727E-01
1.024390243902439E+00,1.9817073170731708E-01
1.221587455937766E+00,2.2790810745107576E-01
1.3817249679577355E+00,2.0319484822907877E-01
1.2837837837837838E+00,2.2420147420147418E-01
1.1821773908573998E+00,2.0559606797519997E-01
1.2204187832982283E+00,2.1682567215958368E-01
1.2130915360694603E+00,1.4470888882046862E-01
1.1785703295688832E+00,1.630919777210204E-01
1.300676724405538E+00,2.359222698205749E-01
1.233907268091536E+00,2.5181780981459917E-01
1.2244394411374642E+00,1.9122228047990625E-01
1.2309405251600534E+00,2.2268270806915536E-01
1.15430421107277E+00,1.5268574220539285E-01
1.4364675389563752E+00,2.3420666396027856E-01
1.2153518123667377E+00,1.9189765458422176E-01
1.2493920233463036E+00,2.3103112840466927E-01
1.1689197569143E+00,2.1083963785191615E-01
1.1898920510304218E+00,2.238714425907753E-01
1.202545133497732E+00,1.583097390933723E-01
1.1852852668427194E+00,2.0266535650678622E-01
1.2577018357365177E+00,2.0644095788604458E-01
1.1861705388340587E+00,1.5631704775332558E-01
1.1660908193484698E+00,1.9743336623889435E-01
1.2454640506796237E+00,1.6298665354572853E-01
1.3306132391449974E+00,2.2836611655806588E-01
1.1673637555402958E+00,2.4033959672888444E-01
1.2344550109729335E+00,2.316508168739332E-01
1.3619873332103547E+00,1.9676566439156368E-01
1.2437201323367235E+00,1.6542090430094353E-01
1.155730884211175E+00,1.9416278854747743E-01
1.3715442913687828E+00,2.3012488110214477E-01
1.1920772710600318E+00,1.9562293678933854E-01
1.2058778972882898E+00,1.8179063778215424E-01
1.2193277056669996E+00,1.6035823424404708E-01
1.3108787514265445E+00,1.727275531291447E-01
1.376413966463321E+00,1.7166855706446768E-01
1.11276669942618E+00,2.1874900928890723E-01
1.338255652976465E+00,2.4303953237963388E-01
1.129091804085651E+00,1.5075067683977356E-01
1.2446873102610807E+00,2.0036429872495445E-01
1.2362219109676633E+00,2.5272516899092623E-01
1.4050240253025972E+00,2.889118666747765E-01
1.2362251428214655E+00,2.1852464645833983E-01
