final_pct_blocked_calls,final_pct_dropped_calls
2.9186200738026763E-01,4.5929690475252466E-01
2.9768589550940355E-01,4.349820471046013E-01
2.9383735705209657E-01,4.1779459698359206E-01
2.779648141434022E-01,4.343847654563975E-01
2.897155520034875E-01,4.3048643150361465E-01
3.0400866441830493E-01,4.4658769981629237E-01
2.937167016799805E-01,4.4716062879082236E-01
2.9865801679209647E-01,4.3315301773158355E-01
2.9755225017513076E-01,4.3731679282882074E-01
2.876175733999371E-01,4.214560681900371E-01
3.0668682696076977E-01,4.440535367810071E-01
3.200363396101751E-01,4.418566237198546E-01
2.9631739186449413E-01,4.149799629772778E-01
3.023279250226746E-01,4.5987436595115727E-01
3.083766053524159E-01,4.1737470296325885E-01
3.1307317690215675E-01,4.4462715830750743E-01
3.06488273924309E-01,4.3968642107844114E-01
2.9171648163962427E-01,4.396242527754056E-01
2.928612544560355E-01,4.291932177372933E-01
3.08037712903506E-01,4.797637263876732E-01
2.840045969116151E-01,4.220440405267955E-01
2.917558428216762E-01,4.362640184915675E-01
3.1270601147969307E-01,4.462791090985024E-01
2.989501276871732E-01,4.4082476455566216E-01
3.0777442938418087E-01,4.212894768848227E-01
3.266099065152483E-01,4.931744396782143E-01
3.0408355449019775E-01,4.7769882715520934E-01
3.010201430625076E-01,4.5066421878518104E-01
3.1103424696185594E-01,4.521116802156327E-01
3.0133148781594277E-01,4.533217657362919E-01
2.998032027275181E-01,4.347310985763461E-01
2.792363492882508E-01,4.168310721259397E-01
2.8533571000132163E-01,4.446086122585914E-01
2.8086646645590696E-01,4.5327628095877E-01
2.9831201499243365E-01,4.299300820775611E-01
2.896087026558318E-01,4.410963317373438E-01
2.8586736952101405E-01,4.429446668596854E-01
3.121475818256433E-01,4.132885684834346E-01
3.3066057809871857E-01,4.5562933590926596E-01
2.8330783562812684E-01,4.4096031357177856E-01
2.873884111854854E-01,4.3551660940794706E-01
3.111024059021317E-01,4.504945646851435E-01
2.8479641184037646E-01,4.1859569228229243E-01
2.7928009284808836E-01,4.3146265841201675E-01
2.9958200213890757E-01,4.726513344556413E-01
2.882221522872375E-01,4.430831357323803E-01
2.9705343248616844E-01,4.3106503782367855E-01
3.227259832796569E-01,4.6323026348724283E-01
3.0337915622672174E-01,4.4592672851628634E-01
2.8411429098175806E-01,4.3292038544729067E-01
3.0784478106364277E-01,4.4700284086087927E-01
2.9465525335357634E-01,4.461446773941156E-01
2.981841391826853E-01,4.29062799191518E-01
3.194569232305081E-01,4.3193238161791625E-01
2.8270470939766795E-01,4.487056953429178E-01
2.982925324007406E-01,4.4092436398546253E-01
2.8460474518565804E-01,4.3754654750505373E-01
2.992448928757878E-01,4.4153123304591724E-01
2.830121931086531E-01,4.228336932754281E-01
2.7962950816276505E-01,4.3774100783998293E-01
2.547774824617915E-01,3.7909076488279264E-01
3.067021465794657E-01,4.395840394082058E-01
3.2063575374635794E-01,4.6127137291317605E-01
2.824066655984618E-01,4.2961865085723444E-01
2.806072245332827E-01,4.343134793259998E-01
3.004791694396379E-01,4.721815519765739E-01
3.1355498545558197E-01,4.608880509106145E-01
3.123626182928804E-01,4.3168844390529293E-01
2.9820232401493385E-01,4.6812010682480526E-01
3.081222094353568E-01,4.373782951021056E-01
3.258034285482294E-01,4.523356012138969E-01
2.871802468470774E-01,4.3666211038764285E-01
2.924846487342936E-01,4.2819752574700576E-01
2.857572567303354E-01,4.0607610166942404E-01
2.832746139241149E-01,4.0646691914320426E-01
3.158738551278334E-01,4.8063311217615257E-01
3.0149671583934534E-01,4.4082474361358825E-01
2.8475666248841897E-01,4.169164532127091E-01
3.2337632403683736E-01,4.740559303433638E-01
2.932128121535727E-01,4.2604411967280864E-01
3.1607165498378886E-01,4.3591926437114725E-01
3.023469306298395E-01,4.337298102764695E-01
2.846860934852996E-01,4.357167440197543E-01
3.129409272753983E-01,4.74194330849621E-01
2.9346124379600946E-01,4.4368941740781453E-01
3.0267898900606677E-01,4.429850274354296E-01
3.0770172312964955E-01,4.4234247711787184E-01
2.953071194041803E-01,4.251087797976562E-01
2.946768060836502E-01,4.2986903253062947E-01
2.786763383083226E-01,4.1818422508630143E-01
3.0367299720428037E-01,4.2280095302364656E-01
2.923896237759835E-01,4.476894004466586E-01
3.072035289020756E-01,4.693387247115044E-01
2.943968634224749E-01,4.4725018249863774E-01
2.930395484819535E-01,4.15336978542052E-01
3.049056300321994E-01,4.372547771340881E-01
3.102057014352801E-01,4.4149745353528674E-01
3.224496538053877E-01,4.4117444629509817E-01
2.893062811988578E-01,4.5741206116174443E-01
3.067372203008713E-01,4.1794473841792035E-01
