final_pct_blocked_calls,final_pct_dropped_calls
1.2457625425410759E+00,2.281067472976843E-01
1.2273375971245837E+00,2.1354194196310586E-01
1.2525398443353877E+00,1.869865464192414E-01
1.194002061834343E+00,2.1790623825564676E-01
1.2309666260243288E+00,1.9848583661780136E-01
1.2545019458074496E+00,2.0994692624578293E-01
1.2255039586725813E+00,2.172356673592004E-01
1.232202665637534E+00,1.9571899163370227E-01
1.2131031340185308E+00,2.0319646262636493E-01
1.2379012962335525E+00,1.9490658106611802E-01
1.2625614672707655E+00,2.1195004586978602E-01
1.2694331196183581E+00,2.0536937729433458E-01
1.2935387670576073E+00,1.911064109059872E-01
1.2419224555735056E+00,2.1168737117709321E-01
1.262224758114178E+00,1.9378698739514802E-01
1.2364556601083547E+00,2.113629883090961E-01
1.2569923863554113E+00,2.0955617518620515E-01
1.2260082573460087E+00,2.0149830326175378E-01
1.2717296902355975E+00,1.8989784805415016E-01
1.2915741643670768E+00,2.3168800271109544E-01
1.2252595120181529E+00,1.9953248477837518E-01
1.2179686273724006E+00,2.0772593535114697E-01
1.2738984797732544E+00,2.119728592287211E-01
1.2353219462940341E+00,2.0300374939098875E-01
1.2714903383127396E+00,1.769089431227502E-01
1.2908617145436145E+00,2.3200956246099383E-01
1.298569441483151E+00,2.3081166512679413E-01
1.282452500863034E+00,1.9615877245905025E-01
1.2415106058355723E+00,2.2514615935082294E-01
1.2361521775052648E+00,2.1270536615207203E-01
1.244467752623056E+00,1.9063885276514925E-01
1.2077502765248493E+00,1.8779569207019767E-01
1.1949092870829991E+00,2.1719254118776296E-01
1.1902847594611032E+00,2.2582201310187158E-01
1.2261300227590366E+00,1.9761674897793455E-01
1.2390269407523598E+00,2.0810974435179833E-01
1.2299706218320658E+00,2.141357543831458E-01
1.2607287703964536E+00,1.9632296175195538E-01
1.3096876114763287E+00,2.0995770269581615E-01
1.2204672106503331E+00,2.2479530691726274E-01
1.240482298967583E+00,1.9843589867044512E-01
1.2455600284158181E+00,2.1819288927979433E-01
1.2550228436175483E+00,1.90248802774261E-01
1.2379632836854866E+00,2.0367163145133355E-01
1.2780733375633633E+00,2.1405810945551149E-01
1.218596312716525E+00,2.0454144300354055E-01
1.2610008284200054E+00,1.954932565225077E-01
1.2723868055888992E+00,2.1880937519291577E-01
1.2463865546218489E+00,2.2319327731092437E-01
1.2195459100805197E+00,2.0596468189515152E-01
1.2364686564412781E+00,2.1199531630315674E-01
1.2533502609676963E+00,2.1441670193257156E-01
1.2426857327842775E+00,2.0189292017223553E-01
1.274492287534989E+00,2.0669336163981403E-01
1.2426228944063042E+00,2.1129062784975652E-01
1.2286679818407513E+00,2.1767186054934892E-01
1.2042293593764475E+00,2.0710098323342202E-01
1.2660975502216434E+00,2.1163805822081583E-01
1.2400401408475674E+00,1.964490243149993E-01
1.2321804281557915E+00,2.024122822245214E-01
1.131892847941285E+00,1.7478013216441865E-01
1.2329444984653075E+00,2.0035780651457008E-01
1.2704130143593801E+00,2.186179183410023E-01
1.232778905236057E+00,2.029424902485606E-01
1.21228641033067E+00,2.0579566943218797E-01
1.2389156588395314E+00,2.2845253283565828E-01
1.276427356266636E+00,2.029296273873825E-01
1.236873921725782E+00,1.966364636681021E-01
1.235950145079567E+00,2.1955262370428646E-01
1.2583218500066677E+00,1.9353537149559075E-01
1.2305380951418505E+00,2.243466661276957E-01
1.259859087785745E+00,1.9726394902699557E-01
1.2161825011683927E+00,1.9607912038484918E-01
1.2106393961800856E+00,1.8869372323060396E-01
1.184736380557568E+00,1.9583851814365885E-01
1.2825569579634186E+00,2.2128035083966202E-01
1.2585921084585414E+00,2.164525018741619E-01
1.2150346341648057E+00,1.9166646593876996E-01
1.3127945977678372E+00,2.2932708977743602E-01
1.2329078113266856E+00,2.0955940135864345E-01
1.2586427031514906E+00,1.8174968080430337E-01
1.2216227221826326E+00,2.0184858196983152E-01
1.184844877483409E+00,2.0736530855189894E-01
1.279393292724105E+00,2.312970191385621E-01
1.2176629099110718E+00,2.168297537831912E-01
1.2650882485571562E+00,2.017010001153576E-01
1.2587708954943317E+00,2.1156100578631315E-01
1.2276366714220381E+00,1.9760957263090353E-01
1.231576334983248E+00,1.9647313488397744E-01
1.230373411810316E+00,1.889086647752304E-01
1.2657321024438692E+00,2.0352008336182612E-01
1.2485740736246096E+00,2.0457059245723952E-01
1.2592508817936992E+00,2.2301075116806743E-01
1.2354998174311154E+00,2.0187905513580318E-01
1.2507050884755466E+00,1.911573200370476E-01
1.2361083618471282E+00,2.0218872833187232E-01
1.2623285202976688E+00,1.9592682133223238E-01
1.2894303181259912E+00,1.9644202552026174E-01
1.266245164250385E+00,2.0542160089815467E-01
1.2327294339194252E+00,1.9298960260168682E-01
