pct_blocked_calls,pct_dropped_calls
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
0E+00,0E+00
1.282051282051282E+00,0E+00
1.2658227848101267E+00,0E+00
1.25E+00,0E+00
1.2345679012345678E+00,0E+00
1.2195121951219512E+00,0E+00
1.2048192771084338E+00,0E+00
1.1904761904761905E+00,0E+00
1.1764705882352942E+00,0E+00
1.1627906976744187E+00,0E+00
1.1494252873563218E+00,0E+00
1.1363636363636365E+00,0E+00
1.1235955056179776E+00,0E+00
1.1111111111111112E+00,0E+00
1.098901098901099E+00,0E+00
1.0869565217391304E+00,0E+00
1.0752688172043012E+00,0E+00
1.0638297872340425E+00,0E+00
1.0526315789473684E+00,0E+00
1.0416666666666665E+00,0E+00
1.0309278350515463E+00,0E+00
1.0204081632653061E+00,0E+00
1.0101010101010102E+00,0E+00
1E+00,0E+00
9.900990099009901E-01,0E+00
9.803921568627451E-01,0E+00
9.708737864077669E-01,0E+00
9.615384615384616E-01,0E+00
9.523809523809524E-01,0E+00
9.433962264150944E-01,0E+00
9.345794392523363E-01,0E+00
9.259259259259258E-01,0E+00
